Control_1	Control_2	Control_3	Heat_treated_1	Heat_treated_2	Heat_treated_3
g188	11.7934188204743	13.3962287816829	13.3585252928952	10.6828502714153	11.2119469246915	11.5153390620854
g189	4.0622695812298	4.73465935761894	3.95935309570656	7.05415450799485	7.19605842194537	6.70190512280067
g190	7.89701585224643	6.86837727820348	8.15294927889469	8.66551492014026	8.28160930303881	7.83604118375741
g191	10.2582081287673	11.6135036228695	11.6431496493161	10.2065083682478	9.97346878182359	9.88167811329656
g192	11.6456781681693	12.6885749120053	12.593958718354	12.0903058485107	12.5360997206248	11.7146359289092
g193	8.95472292308981	9.0788550283615	9.13300276998781	9.90609413084226	10.5494611574654	9.54467166829693
g194	6.81524137460574	6.42574570312388	6.28164059193618	7.36464183544475	7.03018242160073	7.43057304362605
g195	9.98600213680409	9.69271571606795	9.86646495884887	10.3045075078208	9.52658463255298	10.0162040229283
g196	9.23164260473295	9.36214526613068	9.31912425803639	9.45786443787632	9.95651878795417	9.27498609133201
g197	3.17205768407886	2.83665835662877	2.78318162275399	3.12748846050167	3.35822334993318	2.67430950480868
g198	6.78421328447919	6.92121645670943	7.35317269242165	7.55085920820746	6.82827140578537	7.55964057607263
g199	6.0788614179603	8.1672956247401	6.69447472738694	6.4541252946643	5.61481665529221	3.9230137511524
g200	11.2389892832374	12.7880948870582	12.7521197430407	11.5455393538792	11.0747369650786	11.7725986194591
g201	11.5086128727987	10.4113279681133	10.2939210454531	10.2964053306525	10.4374527734911	10.2802725748268
g202	8.47437408846872	8.51424420851998	8.41351759531019	9.11819603989789	8.78564773005452	8.85255696281933
g203	10.5249106849078	10.3826012938196	10.3747720766227	11.2735213336251	11.0072548756458	10.9558552395539
g204	10.772527831483	10.7345547032392	10.8633961528827	10.9327881488473	10.8552105098639	10.8833291960986
g205	6.73172754295106	6.47694241290781	6.53608699153799	6.91718839330839	6.87460538670529	7.4685204106341
g206	8.37720595037296	8.68189225880751	8.92545684961102	8.78134995461991	7.33695521778671	8.62448824553727
g207	10.5041262075085	10.3801994551907	10.3028474830806	11.1104250483992	11.3676262140645	10.9716398021269
g208	8.86407486204912	9.48435301672636	8.84284663987951	8.02696941231896	7.88935159690985	8.70997116716458
g209	11.7219048543182	11.1412104642957	11.3786851479725	11.6475681460028	12.1294467948037	11.8726002272033
g210	8.9151511870179	8.41102390573542	9.0629652954542	6.94433899330497	6.86135168817081	8.08655213925939
g211	9.48261781274351	9.39902093664763	9.55481254131337	8.21391386256999	7.91392197590687	8.87574480858766
g212	12.8559422592794	13.2777214930394	13.015489358512	12.2384180389675	13.0219583596157	12.3528542234593
g213	8.5925528546507	7.88874146039537	7.70033979111086	9.05496892610271	9.7785000568535	9.07690585766741
g214	7.77013778351781	9.41241771199951	9.1594372075114	8.74889277472926	8.72800965931446	8.01647530993419
g215	9.7091993797657	10.4491403545746	10.1813021492859	10.2340812331399	9.71335610249927	9.74982908664272
g216	10.6303597267438	10.5939613762724	10.6035084519342	10.3751206240079	10.4471765854428	10.535820989772
g217	12.5489950728592	11.6971473650453	12.0023581010315	12.918379760109	13.6590879880653	12.5073992666288
g218	8.87690444329376	7.27032050539094	7.52891487609071	8.51238048576172	8.37559590769336	8.25450140409547
g219	11.3539087204673	11.5195390529335	11.4556921180369	12.6302594013407	12.4422088228879	12.116764957116
g220	6.37437423583378	6.516810866943	6.42717175030009	6.64438848384017	5.89944905733794	6.08300504860939
g221	8.96604085723545	8.43168983356385	8.55582682821002	7.45707746070253	7.18976723807238	8.40091425721594
g222	10.0909055731096	10.3792976789184	10.3008250518815	9.3333180660731	10.0166823108388	10.2618264172962
